Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
1,54840,675,317.99,10.0,18.0
2,322779,696,307.73,128.0,19.61
3,364085,670,272.62,152.0,19.61
4,516410,216,36.85,238.0,19.61
5,813064,231,39.55,362.0,19.61
6,1274674,591,188.65,559.0,20.9
7,1297813,127,24.18,587.0,20.9
8,1693897,643,246.01,754.0,20.9
9,1703113,529,156.43,778.0,20.9
10,1872470,46,14.91,870.0,20.9
11,2024941,188,32.01,955.0,20.9
12,2060820,639,249.88,984.0,20.9
13,2380284,601,200.55,1138.0,21.11
14,2447010,540,166.11,1176.0,21.54
15,2478696,768,471.89,1209.0,21.33
16,2697197,287,50.23,1337.0,21.54
17,2798698,432,101.61,1391.0,21.54
18,2929291,70,18.93,1456.0,21.54
19,2931654,551,164.56,1476.0,21.54
20,3145368,543,164.77,1590.0,21.54
21,3363175,743,466.23,1694.0,21.54
22,3510735,409,91.12,1784.0,22.19
23,3609860,127,24.18,1849.0,21.97
24,3770059,647,246.69,1929.0,22.19
25,3853240,147,26.19,1989.0,22.19
26,3861062,432,101.61,2012.0,22.19
27,3920189,399,87.3,2050.0,22.19
28,4276356,472,125.87,2215.0,22.19
29,4299707,415,95.0,2250.0,22.19
30,4329940,113,23.02,2287.0,22.19
31,4550954,327,59.28,2391.0,22.19
32,4684536,344,64.67,2464.0,22.19
33,4853218,302,53.3,2545.0,22.19
34,4855470,615,227.36,2565.0,22.19
35,5176505,643,246.01,2706.0,22.19
36,5506437,643,246.01,2854.0,22.19
37,5627911,384,80.08,2913.0,22.19
38,5969190,624,242.54,3082.0,22.19
39,5972129,472,125.87,3101.0,22.19
40,6187918,167,28.76,3187.0,22.19
41,6461975,300,52.79,3309.0,22.19
42,6462300,39,13.53,3327.0,22.19
43,6548042,300,52.79,3390.0,22.19
44,6638913,46,14.91,3460.0,22.19
45,6704277,209,35.61,3511.0,22.19
46,6850842,723,388.29,3593.0,22.19
47,7193183,691,332.16,3739.0,22.19
48,7238330,172,29.49,3773.0,22.19
49,7415083,622,244.71,3868.0,22.19
50,7496737,691,332.16,3917.0,22.19
51,8203030,652,262.1,4232.0,22.19
52,8209709,391,82.35,4252.0,22.19
53,8285237,856,997.78,4304.0,22.19
54,8450381,647,246.69,4393.0,22.19
55,8507966,664,270.86,4428.0,22.19
56,8524867,615,227.36,4452.0,22.19
57,8668080,611,211.89,4532.0,22.19
58,8771355,620,217.12,4587.0,22.19
59,8900172,236,40.44,4658.0,22.19
60,9207100,423,97.36,4806.0,22.19
